GeographyCode,DC1117EW0251,DC1117EW0252,DC1117EW0253,DC1117EW0254,DC1117EW0255,DC1117EW0256,DC1117EW0257,DC1117EW0258,DC1117EW0259,DC1117EW0260,DC1117EW0261
E02000098,15,23,22,11,11,24,11,13,129,43,86
E02000099,7,12,26,16,10,23,9,14,126,45,81
E02000100,15,17,22,7,15,30,14,16,125,50,75
E02000101,7,21,40,20,20,21,6,15,154,48,106
E02000102,12,10,21,7,14,16,9,7,60,22,38
E02000103,11,10,25,5,20,22,12,10,110,43,67
E02000104,16,15,32,8,24,26,10,16,172,57,115
E02000105,13,13,17,9,8,14,5,9,103,34,69
E02000106,8,13,27,8,19,11,5,6,91,28,63
E02000107,3,11,19,9,10,15,6,9,91,31,60
E02000108,6,8,19,8,11,16,5,11,78,27,51
E02000109,15,19,28,16,12,24,11,13,108,38,70
E02000110,8,15,22,11,11,10,7,3,66,27,39
E02000111,6,17,22,6,16,23,14,9,130,48,82
E02000112,18,18,20,6,14,19,7,12,95,35,60
E02000113,4,10,13,4,9,14,5,9,72,25,47
E02000114,5,13,15,2,13,15,5,10,69,21,48
E02000115,12,15,19,7,12,28,18,10,126,35,91
E02000116,7,9,5,1,4,11,3,8,55,16,39
E02000117,9,13,26,14,12,31,16,15,96,38,58
E02000118,9,13,12,4,8,23,7,16,74,30,44
E02000119,5,9,13,4,9,3,3,0,43,10,33
E02000120,5,6,7,3,4,20,7,13,77,25,52
E02000121,16,12,27,12,15,18,10,8,59,28,31
E02000122,15,19,22,9,13,29,11,18,139,50,89
E02000123,13,10,26,10,16,20,11,9,88,40,48
E02000124,8,20,27,13,14,17,7,10,91,44,47
E02000125,7,17,25,9,16,21,13,8,116,41,75
E02000126,5,19,14,4,10,14,5,9,52,20,32
E02000127,12,40,31,12,19,29,15,14,190,50,140
E02000128,12,18,36,16,20,27,7,20,148,45,103
E02000130,14,9,23,10,13,17,5,12,117,35,82
E02000131,6,4,9,4,5,19,9,10,74,23,51
E02000132,17,29,45,17,28,34,12,22,245,62,183
E02000133,21,48,62,27,35,65,28,37,390,126,264
E02000134,14,33,38,13,25,43,8,35,275,72,203
E02000135,5,16,22,6,16,20,5,15,128,31,97
E02000136,11,20,40,11,29,33,8,25,327,93,234
E02000137,20,33,60,24,36,46,18,28,263,86,177
E02000138,30,45,60,26,34,48,24,24,312,103,209
E02000139,9,15,23,11,12,18,3,15,88,26,62
E02000140,12,12,25,8,17,25,11,14,203,67,136
E02000141,7,17,20,6,14,19,4,15,89,27,62
E02000142,14,15,37,12,25,27,5,22,267,82,185
E02000144,15,19,31,14,17,26,10,16,136,42,94
E02000145,14,22,17,5,12,16,6,10,118,44,74
E02000146,21,22,46,14,32,34,12,22,253,57,196
E02000147,16,33,41,18,23,52,18,34,253,85,168
E02000148,21,39,52,17,35,38,13,25,178,67,111
E02000149,11,19,28,8,20,30,16,14,170,54,116
E02000150,20,30,43,15,28,33,19,14,172,61,111
E02000151,15,29,42,12,30,49,22,27,196,77,119
E02000152,12,25,22,9,13,28,7,21,148,40,108
E02000153,15,26,33,13,20,32,13,19,193,65,128
E02000154,16,37,42,18,24,31,16,15,207,62,145
E02000155,25,38,47,19,28,44,20,24,182,76,106
E02000156,41,43,93,38,55,53,19,34,439,130,309
E02000157,33,57,55,22,33,48,20,28,252,104,148
E02000158,19,26,46,20,26,39,19,20,205,79,126
E02000159,27,32,40,20,20,32,17,15,179,66,113
E02000160,10,26,42,21,21,34,8,26,241,65,176
E02000161,19,25,57,22,35,40,23,17,204,86,118
E02000162,14,32,44,22,22,45,10,35,220,71,149
E02000163,25,33,38,20,18,43,20,23,178,73,105
E02000165,8,9,11,5,6,12,5,7,62,21,41
E02000166,13,11,34,12,22,30,11,19,143,44,99
E02000167,13,23,36,14,22,37,21,16,192,61,131
E02000168,17,15,20,6,14,26,11,15,120,45,75
E02000169,16,24,33,10,23,37,15,22,205,61,144
E02000170,8,15,13,4,9,12,5,7,101,36,65
E02000171,23,12,23,6,17,18,8,10,126,48,78
E02000172,13,20,24,7,17,40,16,24,142,37,105
E02000173,17,12,16,10,6,24,10,14,142,48,94
E02000174,7,14,21,11,10,15,9,6,91,22,69
E02000175,14,11,9,6,3,8,2,6,78,24,54
E02000176,10,11,18,6,12,14,7,7,93,34,59
E02000177,9,17,32,10,22,26,4,22,138,45,93
E02000178,14,8,14,6,8,22,6,16,81,34,47
E02000179,7,13,23,9,14,17,9,8,99,36,63
E02000180,11,7,13,6,7,19,12,7,67,19,48
E02000181,7,12,21,8,13,18,5,13,112,32,80
E02000182,10,16,27,8,19,32,11,21,213,86,127
E02000183,10,17,23,8,15,11,7,4,109,44,65
E02000184,9,7,20,10,10,15,6,9,73,24,49
E02000185,14,21,21,5,16,29,15,14,163,48,115
E02000186,10,9,17,8,9,9,4,5,78,32,46
E02000187,6,18,31,15,16,14,3,11,97,32,65
E02000188,10,13,19,7,12,23,7,16,123,47,76
E02000189,4,8,7,1,6,3,2,1,58,20,38
E02000190,22,14,20,2,18,15,8,7,79,20,59
E02000191,6,8,12,8,4,12,3,9,55,16,39
E02000192,4,17,19,5,14,12,4,8,79,14,65
E02000193,9,6,18,7,11,19,9,10,86,34,52
E02000194,17,10,19,12,7,24,8,16,152,41,111
E02000195,15,17,25,14,11,35,14,21,150,57,93
E02000196,11,19,25,8,17,21,9,12,97,38,59
E02000197,13,16,27,9,18,41,17,24,133,45,88
E02000198,8,6,14,6,8,11,4,7,65,23,42
E02000199,9,16,15,8,7,12,8,4,66,24,42
E02000200,13,20,16,7,9,23,10,13,122,49,73
E02000201,11,11,14,8,6,23,10,13,81,29,52
E02000202,7,10,27,11,16,22,8,14,96,32,64
E02000203,5,5,11,8,3,19,9,10,77,25,52
E02000204,7,14,26,14,12,19,11,8,68,30,38
E02000206,8,20,20,5,15,32,16,16,132,51,81
E02000207,2,12,17,7,10,15,7,8,72,23,49
E02000208,2,10,17,6,11,14,5,9,105,29,76
E02000209,6,8,14,8,6,18,5,13,60,19,41
E02000210,6,13,24,8,16,15,6,9,71,27,44
E02000211,13,26,45,21,24,43,20,23,166,64,102
E02000212,4,10,9,3,6,14,3,11,65,24,41
E02000213,8,12,20,8,12,14,4,10,75,20,55
E02000214,16,13,34,12,22,31,13,18,126,50,76
E02000215,11,22,27,10,17,31,11,20,176,46,130
E02000216,20,24,45,16,29,30,14,16,233,74,159
E02000217,6,13,20,8,12,18,10,8,82,27,55
E02000218,13,12,23,8,15,16,8,8,97,42,55
E02000219,19,24,43,17,26,51,17,34,268,79,189
E02000220,9,35,31,10,21,30,13,17,207,40,167
E02000221,11,20,33,13,20,33,10,23,174,50,124
E02000222,7,23,25,8,17,15,10,5,103,31,72
E02000223,9,11,14,6,8,15,3,12,53,25,28
E02000224,6,15,18,5,13,18,8,10,91,27,64
E02000225,12,15,17,6,11,18,7,11,95,38,57
E02000226,20,19,52,25,27,38,16,22,172,53,119
E02000227,17,21,44,22,22,31,9,22,197,61,136
E02000228,10,24,54,25,29,45,19,26,250,93,157
E02000229,16,23,27,7,20,31,12,19,144,42,102
E02000230,19,30,52,16,36,43,24,19,312,88,224
E02000231,11,14,19,7,12,29,16,13,199,80,119
E02000232,21,23,44,18,26,24,7,17,142,63,79
E02000233,16,12,25,11,14,19,8,11,185,64,121
E02000234,12,21,27,9,18,19,8,11,149,43,106
E02000235,13,11,27,9,18,26,13,13,145,55,90
E02000236,14,15,17,7,10,29,11,18,106,39,67
E02000237,27,25,57,30,27,47,15,32,276,94,182
E02000238,12,10,11,5,6,21,5,16,82,25,57
E02000239,9,20,31,12,19,24,10,14,139,46,93
E02000240,16,17,30,13,17,20,9,11,157,58,99
E02000241,12,12,19,9,10,14,8,6,72,26,46
E02000242,7,4,19,8,11,12,6,6,76,34,42
E02000243,8,16,29,10,19,21,9,12,105,46,59
E02000244,10,5,17,8,9,13,5,8,93,31,62
E02000245,7,6,12,3,9,16,7,9,98,41,57
E02000246,10,18,29,12,17,20,7,13,122,36,86
E02000247,23,21,22,8,14,28,6,22,205,59,146
E02000248,7,13,27,16,11,19,7,12,117,49,68
E02000249,18,18,25,11,14,20,9,11,125,44,81
E02000250,10,13,30,16,14,22,9,13,155,44,111
E02000251,11,9,27,13,14,16,11,5,62,15,47
E02000252,8,6,14,5,9,21,6,15,88,33,55
E02000253,13,18,39,10,29,33,12,21,147,53,94
E02000254,8,12,25,16,9,18,7,11,111,40,71
E02000255,4,19,38,18,20,27,13,14,167,56,111
E02000256,15,19,29,10,19,24,9,15,206,49,157
E02000257,25,24,43,10,33,41,19,22,270,75,195
E02000258,10,6,15,4,11,11,2,9,108,44,64
E02000259,9,8,13,3,10,11,4,7,63,24,39
E02000260,10,18,23,13,10,14,5,9,92,38,54
E02000261,9,15,26,8,18,21,10,11,149,51,98
E02000262,14,14,19,7,12,29,12,17,150,38,112
E02000263,10,22,29,17,12,28,13,15,95,46,49
E02000264,13,21,30,9,21,20,4,16,162,60,102
E02000265,6,15,17,5,12,20,8,12,127,56,71
E02000266,11,14,29,7,22,31,19,12,131,52,79
E02000267,5,15,19,6,13,14,6,8,78,29,49
E02000268,19,8,22,9,13,33,15,18,126,47,79
E02000269,5,20,24,10,14,13,8,5,132,42,90
E02000270,9,16,17,5,12,13,3,10,68,25,43
E02000271,11,10,12,5,7,18,8,10,95,30,65
E02000272,10,16,22,11,11,26,8,18,118,38,80
E02000274,9,14,14,8,6,12,8,4,89,34,55
E02000275,9,9,29,17,12,22,9,13,135,49,86
E02000276,4,2,12,5,7,17,8,9,86,29,57
E02000277,16,15,20,9,11,21,14,7,119,26,93
E02000278,16,13,25,11,14,25,8,17,175,52,123
E02000279,8,12,11,6,5,12,5,7,57,22,35
E02000280,6,22,31,16,15,23,14,9,180,48,132
E02000281,14,16,31,14,17,22,9,13,177,44,133
E02000282,10,5,15,8,7,10,6,4,65,17,48
E02000283,11,18,16,10,6,13,3,10,83,37,46
E02000284,9,16,31,13,18,36,15,21,168,48,120
E02000285,11,14,28,15,13,20,9,11,102,34,68
E02000286,27,22,47,17,30,39,11,28,279,85,194
E02000287,20,26,23,9,14,41,15,26,249,79,170
E02000288,15,11,32,19,13,20,5,15,129,37,92
E02000289,18,18,36,19,17,28,12,16,156,53,103
E02000290,6,5,18,7,11,11,2,9,55,21,34
E02000291,15,24,33,12,21,20,8,12,230,57,173
E02000292,21,19,20,9,11,36,10,26,138,48,90
E02000293,20,31,41,20,21,38,20,18,217,82,135
E02000294,12,8,23,7,16,16,6,10,145,44,101
E02000295,14,22,32,10,22,33,13,20,249,69,180
E02000296,12,20,52,23,29,47,17,30,282,90,192
E02000297,16,25,50,21,29,45,18,27,241,78,163
E02000298,21,13,31,13,18,48,17,31,186,58,128
E02000299,7,14,24,6,18,22,8,14,128,45,83
E02000300,11,12,15,7,8,13,4,9,87,31,56
E02000301,11,12,21,9,12,18,5,13,90,34,56
E02000302,16,21,22,8,14,27,12,15,152,46,106
E02000303,7,12,19,6,13,22,7,15,91,26,65
E02000304,15,28,41,16,25,31,11,20,191,64,127
E02000305,11,24,37,13,24,24,13,11,172,46,126
E02000306,5,12,16,5,11,15,6,9,74,25,49
E02000307,11,13,22,9,13,21,14,7,99,44,55
E02000308,11,18,22,12,10,25,8,17,97,33,64
E02000309,8,14,21,8,13,19,6,13,90,20,70
E02000311,21,20,39,16,23,25,12,13,99,36,63
E02000312,11,13,31,9,22,30,8,22,155,46,109
E02000313,1,4,7,3,4,4,1,3,29,17,12
E02000314,1,9,9,2,7,9,1,8,96,29,67
E02000315,17,21,20,5,15,31,12,19,144,39,105
E02000316,4,10,12,7,5,20,5,15,81,22,59
E02000317,6,4,11,3,8,15,3,12,89,21,68
E02000318,15,11,26,11,15,17,7,10,75,26,49
E02000319,5,9,22,5,17,16,6,10,119,28,91
E02000320,9,13,9,2,7,17,3,14,85,23,62
E02000321,3,10,17,5,12,12,3,9,79,26,53
E02000323,4,13,13,5,8,15,7,8,76,25,51
E02000324,14,18,30,10,20,23,6,17,155,47,108
E02000326,10,7,18,10,8,16,3,13,54,15,39
E02000327,2,3,6,2,4,16,6,10,25,10,15
E02000328,10,18,30,12,18,25,12,13,182,54,128
E02000329,10,13,15,5,10,21,7,14,104,35,69
E02000331,13,19,20,6,14,28,11,17,144,46,98
E02000332,10,11,24,13,11,14,7,7,100,32,68
E02000333,16,15,27,11,16,25,8,17,185,62,123
E02000334,9,13,20,4,16,17,8,9,134,50,84
E02000335,16,18,28,12,16,16,5,11,121,45,76
E02000337,12,19,21,7,14,23,6,17,120,38,82
E02000339,7,20,29,17,12,36,15,21,162,51,111
E02000340,17,22,37,16,21,48,17,31,209,64,145
E02000341,10,8,18,5,13,16,9,7,123,35,88
E02000342,7,17,33,16,17,22,6,16,109,42,67
E02000343,12,18,31,14,17,23,6,17,180,55,125
E02000344,16,20,34,17,17,33,13,20,183,63,120
E02000345,3,5,15,9,6,11,5,6,79,39,40
E02000346,8,13,14,7,7,16,8,8,64,18,46
E02000347,11,8,15,4,11,15,7,8,126,36,90
E02000348,6,6,15,6,9,12,4,8,58,24,34
E02000350,4,6,11,2,9,7,5,2,31,12,19
E02000351,7,4,11,2,9,8,5,3,60,26,34
E02000352,4,8,20,9,11,22,4,18,127,39,88
E02000353,7,12,11,2,9,8,4,4,52,18,34
E02000354,12,13,17,6,11,17,7,10,61,26,35
E02000355,8,11,25,8,17,18,6,12,95,28,67
E02000356,3,8,9,3,6,9,3,6,51,23,28
E02000357,12,4,10,2,8,12,6,6,58,24,34
E02000358,15,8,27,8,19,14,8,6,80,37,43
E02000359,5,9,8,2,6,12,4,8,31,13,18
E02000360,12,11,12,2,10,18,9,9,79,37,42
E02000361,6,5,12,5,7,12,7,5,44,19,25
E02000362,5,7,13,8,5,15,9,6,60,21,39
E02000363,11,12,18,5,13,16,8,8,98,30,68
E02000364,2,9,14,5,9,17,7,10,44,13,31
E02000365,14,19,31,12,19,19,12,7,111,42,69
E02000366,7,21,19,10,9,19,9,10,102,32,70
E02000367,4,5,8,4,4,9,6,3,35,10,25
E02000368,17,11,9,5,4,14,4,10,83,26,57
E02000369,15,12,15,4,11,16,2,14,81,21,60
E02000370,8,9,19,5,14,19,6,13,88,30,58
E02000371,6,6,15,7,8,9,3,6,59,15,44
E02000372,5,8,22,6,16,24,11,13,89,32,57
E02000373,10,11,9,5,4,19,4,15,49,18,31
E02000374,5,16,16,7,9,15,7,8,72,22,50
E02000375,7,7,22,13,9,14,6,8,65,19,46
E02000376,8,7,10,5,5,13,6,7,46,20,26
E02000377,9,11,17,8,9,14,7,7,107,36,71
E02000378,7,12,13,6,7,11,6,5,50,12,38
E02000379,7,19,25,11,14,11,8,3,138,35,103
E02000380,4,6,8,2,6,10,3,7,46,16,30
E02000381,3,10,9,3,6,12,4,8,57,15,42
E02000382,7,7,19,9,10,16,8,8,68,22,46
E02000383,13,19,25,9,16,18,10,8,165,46,119
E02000384,10,16,20,8,12,21,8,13,138,46,92
E02000385,3,8,7,1,6,2,1,1,44,16,28
E02000386,2,6,7,2,5,16,6,10,55,19,36
E02000387,3,2,11,4,7,14,7,7,54,19,35
E02000388,8,23,31,11,20,17,10,7,115,25,90
E02000389,8,16,20,9,11,27,11,16,84,23,61
E02000390,5,12,11,6,5,11,7,4,56,20,36
E02000391,6,12,26,7,19,16,6,10,99,35,64
E02000392,5,11,16,5,11,12,2,10,82,30,52
E02000393,2,12,13,8,5,11,4,7,65,23,42
E02000394,3,9,12,3,9,6,2,4,65,17,48
E02000395,4,25,23,7,16,27,12,15,140,55,85
E02000396,9,11,6,3,3,8,1,7,62,22,40
E02000397,2,9,8,4,4,12,6,6,80,17,63
E02000398,6,8,9,2,7,8,4,4,60,27,33
E02000400,12,9,12,6,6,16,7,9,81,27,54
E02000401,6,10,9,1,8,10,3,7,65,17,48
E02000402,7,6,8,3,5,11,3,8,60,21,39
E02000403,6,10,13,5,8,12,3,9,63,26,37
E02000404,7,7,18,11,7,9,2,7,62,18,44
E02000405,4,8,17,4,13,9,4,5,53,26,27
E02000406,4,8,11,5,6,13,6,7,62,26,36
E02000407,2,8,17,7,10,10,5,5,57,25,32
E02000408,5,12,14,3,11,12,7,5,55,20,35
E02000409,9,9,11,2,9,11,5,6,44,17,27
E02000410,7,8,9,4,5,15,4,11,122,25,97
E02000411,6,3,5,3,2,12,6,6,39,15,24
E02000412,9,12,11,4,7,6,3,3,52,19,33
E02000413,9,17,14,5,9,20,4,16,169,44,125
E02000414,7,6,13,6,7,17,6,11,49,17,32
E02000415,6,10,16,6,10,11,3,8,55,20,35
E02000416,6,9,13,3,10,10,2,8,62,21,41
E02000417,7,8,22,6,16,18,6,12,103,33,70
E02000418,7,9,12,2,10,16,7,9,83,29,54
E02000419,7,11,14,3,11,17,3,14,44,17,27
E02000420,10,10,16,5,11,8,3,5,60,15,45
E02000421,6,4,10,5,5,4,2,2,43,16,27
E02000422,8,6,9,7,2,5,2,3,65,25,40
E02000423,3,9,20,8,12,19,5,14,70,28,42
E02000424,4,6,14,7,7,8,3,5,59,21,38
E02000425,5,7,7,2,5,15,9,6,35,11,24
E02000426,15,18,26,13,13,26,11,15,166,51,115
E02000427,5,16,8,2,6,9,4,5,43,18,25
E02000428,9,7,9,3,6,14,4,10,54,17,37
E02000429,6,13,15,8,7,14,4,10,76,19,57
E02000430,3,8,8,4,4,7,4,3,48,21,27
E02000431,9,6,9,3,6,13,4,9,83,31,52
E02000432,1,8,10,4,6,7,0,7,46,27,19
E02000433,29,35,75,31,44,77,32,45,471,140,331
E02000434,13,26,45,15,30,42,10,32,297,113,184
E02000435,21,22,46,26,20,42,18,24,197,89,108
E02000436,16,16,20,9,11,28,10,18,177,64,113
E02000437,19,33,38,10,28,39,12,27,184,58,126
E02000438,22,33,38,14,24,39,15,24,262,74,188
E02000439,7,25,19,8,11,17,6,11,120,47,73
E02000440,15,20,22,8,14,25,12,13,151,55,96
E02000441,17,10,38,15,23,34,16,18,169,53,116
E02000442,6,10,20,3,17,19,7,12,84,33,51
E02000443,10,12,21,7,14,13,2,11,139,48,91
E02000444,12,18,29,14,15,17,8,9,114,40,74
E02000445,7,18,28,9,19,20,5,15,118,47,71
E02000447,13,15,31,9,22,17,8,9,122,49,73
E02000448,20,24,46,19,27,32,10,22,243,90,153
E02000449,13,18,32,12,20,13,9,4,95,30,65
E02000451,18,25,42,11,31,30,15,15,137,57,80
E02000452,9,6,24,7,17,14,10,4,89,31,58
E02000453,8,21,17,10,7,14,5,9,103,35,68
E02000454,6,19,29,11,18,28,15,13,133,47,86
E02000455,6,16,31,15,16,29,13,16,133,41,92
E02000456,13,13,25,9,16,25,6,19,111,48,63
E02000457,9,10,18,7,11,23,13,10,87,32,55
E02000459,5,16,25,5,20,21,11,10,126,36,90
E02000460,5,15,7,3,4,10,3,7,70,25,45
E02000461,8,10,23,11,12,15,7,8,126,47,79
E02000462,7,13,22,10,12,24,7,17,113,43,70
E02000463,11,14,12,6,6,22,9,13,99,41,58
E02000464,8,23,38,12,26,35,11,24,241,69,172
E02000465,6,21,30,15,15,32,11,21,215,64,151
E02000466,9,16,35,9,26,35,14,21,157,57,100
E02000467,9,26,42,14,28,34,3,31,245,77,168
E02000468,14,27,49,16,33,31,13,18,185,63,122
E02000469,18,18,35,15,20,27,7,20,176,53,123
E02000470,21,33,52,21,31,43,14,29,232,87,145
E02000471,21,29,62,31,31,43,13,30,204,80,124
E02000472,25,34,36,16,20,31,14,17,194,59,135
E02000473,26,24,46,18,28,40,16,24,233,78,155
E02000474,24,26,40,11,29,27,10,17,209,61,148
E02000475,27,39,62,23,39,45,16,29,284,84,200
E02000476,17,32,36,13,23,26,11,15,230,59,171
E02000477,23,21,49,22,27,33,16,17,188,66,122
E02000478,29,29,30,14,16,34,15,19,131,51,80
E02000479,14,15,20,2,18,35,10,25,168,32,136
E02000480,16,16,43,16,27,36,11,25,185,40,145
E02000481,37,67,66,28,38,56,20,36,322,131,191
E02000482,27,38,61,22,39,54,20,34,234,87,147
E02000483,18,39,51,24,27,51,13,38,303,74,229
E02000484,19,13,37,15,22,35,12,23,150,41,109
E02000485,21,36,36,17,19,39,11,28,243,77,166
E02000486,31,32,42,18,24,45,16,29,192,64,128
E02000487,17,33,47,19,28,37,14,23,251,77,174
E02000488,27,31,45,21,24,39,14,25,168,52,116
E02000489,16,28,37,5,32,39,13,26,168,45,123
E02000490,14,32,56,25,31,50,17,33,194,70,124
E02000491,21,31,45,19,26,32,12,20,152,45,107
E02000492,14,20,32,11,21,29,14,15,112,43,69
E02000493,13,25,18,6,12,11,3,8,90,25,65
E02000494,21,24,45,18,27,35,15,20,195,73,122
E02000495,22,25,43,20,23,51,22,29,257,80,177
E02000496,17,17,44,18,26,26,9,17,182,51,131
E02000497,14,23,46,13,33,30,10,20,223,66,157
E02000498,13,16,31,15,16,26,15,11,146,53,93
E02000499,22,26,37,11,26,57,22,35,203,76,127
E02000500,27,26,39,17,22,38,15,23,225,99,126
E02000501,7,29,38,12,26,30,9,21,186,63,123
E02000502,13,37,32,7,25,38,18,20,232,74,158
E02000503,15,12,29,12,17,35,14,21,117,45,72
E02000504,30,32,52,20,32,41,11,30,239,95,144
E02000506,18,27,34,15,19,37,9,28,211,63,148
E02000507,9,11,27,13,14,27,16,11,85,30,55
E02000508,13,10,19,10,9,16,5,11,130,39,91
E02000509,10,6,24,10,14,17,7,10,97,35,62
E02000510,15,24,31,12,19,34,9,25,146,51,95
E02000511,21,17,27,9,18,27,11,16,153,61,92
E02000512,16,16,18,3,15,17,11,6,121,42,79
E02000513,8,14,18,7,11,17,5,12,107,42,65
E02000514,11,12,22,12,10,19,9,10,84,31,53
E02000515,12,22,34,16,18,19,8,11,138,55,83
E02000516,3,6,10,6,4,13,4,9,41,18,23
E02000517,7,15,16,4,12,14,6,8,106,38,68
E02000518,10,16,12,1,11,26,6,20,138,36,102
E02000519,11,14,21,9,12,19,10,9,117,46,71
E02000520,13,12,31,10,21,13,2,11,124,41,83
E02000521,6,13,19,7,12,20,4,16,132,46,86
E02000522,13,21,36,16,20,30,12,18,139,43,96
E02000523,7,4,14,7,7,13,7,6,90,41,49
E02000524,15,21,20,9,11,21,11,10,116,44,72
E02000525,12,9,20,7,13,16,7,9,68,26,42
E02000526,7,17,20,7,13,23,16,7,142,35,107
E02000528,13,13,25,7,18,32,7,25,124,40,84
E02000529,11,10,18,7,11,20,10,10,75,28,47
E02000530,6,7,14,4,10,10,5,5,84,28,56
